Access Point,Frequency
cc:40:d0:7b:31:6a,8
f4:f2:6d:f9:fe:b1,8
f4:f2:6d:f9:e8:85,8
7c:8b:ca:e0:25:21,8
cc:40:d0:7b:31:69,8
10:0c:6b:46:67:3e,6
14:59:c0:b5:c2:8a,6
74:da:88:94:17:ec,6
50:0f:f5:6d:1e:40,6
70:4f:57:32:02:fc,6
bc:46:99:77:d4:f5,5
6c:f3:7f:5e:0f:32,5
74:b6:b6:d2:18:25,5
30:23:03:b5:57:cf,5
74:b6:b6:d2:18:26,5
bc:46:99:77:d4:f7,5
32:23:03:b5:57:cf,5
7c:8b:ca:e0:25:23,5
b0:7f:b9:a5:ec:16,5
d8:07:b6:72:c1:71,5
44:ad:b1:7b:7c:3e,5
6c:f3:7f:5e:0f:30,5
14:59:c0:b5:c2:8c,5
44:ad:b1:7b:7c:3f,5
74:b6:b6:d2:18:23,5
6c:f3:7f:5e:0f:31,5
28:9e:fc:65:51:ce,5
32:23:03:b5:57:ce,4
b0:4e:26:55:75:d8,4
ea:07:b6:80:48:93,4
44:1c:a8:b1:03:53,4
b0:7f:b9:a5:ec:15,4
ea:47:32:da:00:e7,4
b0:bb:e5:38:ae:ef,4
74:b6:b6:d2:18:27,4
30:23:03:b5:57:ce,4
b0:bb:e5:38:ae:ee,4
e8:1d:a8:54:d3:98,4
0e:62:a6:1f:2b:80,4
18:31:bf:c2:44:e8,1
50:2b:73:f7:21:39,1
d8:c7:c8:42:68:f2,1
d8:47:32:da:00:e7,1
b0:4e:26:55:75:d7,1
b6:6b:fc:2b:3a:0e,1
d8:c7:c8:42:6f:10,1
d8:07:b6:80:48:93,1
28:2c:b2:dc:7a:ea,1
d8:c7:c8:42:6f:11,1
44:1c:a8:b1:03:54,1
